deploymentid	deploymentsize
1	20.2589
2	47.3511
3	53.6809
4	61.3725
5	64.8052
6	68.0661
7	69.8781
8	72.2946
9	73.8807
10	76.1407
11	77.2900
12	78.7361
13	79.6395
14	80.6345
15	81.6927
16	82.5924
17	83.3045
18	84.0935
19	84.6936
20	85.7227
21	86.2805
22	86.8036
23	87.2270
24	87.7485
25	88.2585
26	88.6321
27	88.9725
28	89.3017
29	89.5798
30	90.1466
31	90.4113
32	90.6928
33	90.9149
34	91.1439
35	91.4160
36	91.6176
37	91.7789
38	91.9313
39	92.0833
40	92.4487
41	92.5794
42	92.7168
43	92.8498
44	92.9799
45	93.1834
46	93.2890
47	93.3869
48	93.5039
49	93.5999
50	93.8661
51	93.9612
52	94.0558
53	94.1361
54	94.2259
55	94.3474
56	94.4293
57	94.5023
58	94.5675
59	94.6335
60	94.8568
61	94.9277
62	94.9924
63	95.0516
64	95.1185
65	95.2083
66	95.2612
67	95.3148
68	95.3699
69	95.4197
70	95.5687
71	95.6110
72	95.6581
73	95.7021
74	95.7441
75	95.8107
76	95.8502
77	95.8806
78	95.9139
79	95.9534
80	96.0746
81	96.1091
82	96.1427
83	96.1695
84	96.2061
85	96.2575
86	96.2883
87	96.3155
88	96.3431
89	96.3726
90	96.4686
91	96.4976
92	96.5213
93	96.5460
94	96.5712
95	96.6224
96	96.6488
97	96.6730
98	96.6968
99	96.7274
100	96.8130
101	96.8378
102	96.8604
103	96.8793
104	96.8999
105	96.9394
106	96.9594
107	96.9819
108	97.0020
109	97.0201
110	97.0773
111	97.1017
112	97.1222
113	97.1425
114	97.1606
115	97.1911
116	97.2079
117	97.2237
118	97.2378
119	97.2567
120	97.3192
121	97.3382
122	97.3553
123	97.3700
124	97.3858
125	97.4226
126	97.4396
127	97.4515
128	97.4685
129	97.4823
130	97.5215
131	97.5349
132	97.5488
133	97.5617
134	97.5725
135	97.5986
136	97.6116
137	97.6234
138	97.6348
139	97.6523
140	97.6888
141	97.7002
142	97.7109
143	97.7213
144	97.7325
145	97.7562
146	97.7686
147	97.7795
148	97.7894
149	97.7992
150	97.8320
151	97.8431
152	97.8514
153	97.8612
154	97.8740
155	97.8938
156	97.9055
157	97.9131
158	97.9236
159	97.9342
160	97.9625
161	97.9736
162	97.9833
163	97.9920
164	98.0019
165	98.0212
166	98.0305
167	98.0382
168	98.0465
169	98.0547
170	98.0780
171	98.0868
172	98.0962
173	98.1034
174	98.1128
175	98.1275
176	98.1349
177	98.1427
178	98.1504
179	98.1579
180	98.1814
181	98.1901
182	98.1977
183	98.2048
184	98.2131
185	98.2292
186	98.2352
187	98.2418
188	98.2479
189	98.2541
190	98.2725
191	98.2804
192	98.2876
193	98.2941
194	98.3026
195	98.3186
196	98.3255
197	98.3319
198	98.3396
199	98.3491
200	98.3711
201	98.3821
202	98.3902
203	98.3981
204	98.4073
205	98.4233
206	98.4344
207	98.4410
208	98.4490
209	98.4555
210	98.4736
211	98.4826
212	98.4906
213	98.4979
214	98.5043
215	98.5189
216	98.5241
217	98.5293
218	98.5352
219	98.5422
220	98.5597
221	98.5675
222	98.5732
223	98.5786
224	98.5855
225	98.6007
226	98.6067
227	98.6112
228	98.6158
229	98.6225
230	98.6411
231	98.6478
232	98.6538
233	98.6590
234	98.6647
235	98.6790
236	98.6836
237	98.6885
238	98.6928
239	98.6981
240	98.7125
241	98.7171
242	98.7220
243	98.7265
244	98.7322
245	98.7441
246	98.7496
247	98.7539
248	98.7586
249	98.7667
250	98.7857
251	98.7926
252	98.7967
253	98.8019
254	98.8080
255	98.8193
256	98.8234
257	98.8268
258	98.8325
259	98.8376
260	98.8502
261	98.8552
262	98.8580
263	98.8616
264	98.8659
265	98.8762
266	98.8806
267	98.8843
268	98.8877
269	98.8926
270	98.9046
271	98.9084
272	98.9119
273	98.9141
274	98.9192
275	98.9277
276	98.9306
277	98.9329
278	98.9366
279	98.9419
280	98.9517
281	98.9556
282	98.9582
283	98.9611
284	98.9655
285	98.9743
286	98.9777
287	98.9791
288	98.9831
289	98.9864
290	98.9973
291	99.0003
292	99.0030
293	99.0063
294	99.0095
295	99.0173
296	99.0206
297	99.0240
298	99.0278
299	99.0318
300	99.0424
301	99.0477
302	99.0514
303	99.0548
304	99.0592
305	99.0674
306	99.0706
307	99.0741
308	99.0774
309	99.0809
310	99.0911
311	99.0928
312	99.0947
313	99.0976
314	99.1002
315	99.1058
316	99.1077
317	99.1108
318	99.1141
319	99.1169
320	99.1261
321	99.1302
322	99.1337
323	99.1362
324	99.1400
325	99.1480
326	99.1503
327	99.1523
328	99.1544
329	99.1577
330	99.1648
331	99.1680
332	99.1701
333	99.1714
334	99.1744
335	99.1813
336	99.1851
337	99.1871
338	99.1891
339	99.1917
340	99.2008
341	99.2037
342	99.2054
343	99.2076
344	99.2115
345	99.2171
346	99.2196
347	99.2219
348	99.2244
349	99.2264
350	99.2351
351	99.2375
352	99.2401
353	99.2423
354	99.2446
355	99.2514
356	99.2545
357	99.2568
358	99.2593
359	99.2630
360	99.2740
361	99.2767
362	99.2790
363	99.2804
364	99.2832
365	99.2889
366	99.2907
367	99.2924
368	99.2948
369	99.2975
370	99.3049
371	99.3071
372	99.3088
373	99.3113
374	99.3130
375	99.3194
376	99.3216
377	99.3232
378	99.3254
379	99.3271
380	99.3347
381	99.3362
382	99.3381
383	99.3400
384	99.3420
385	99.3455
386	99.3470
387	99.3494
388	99.3518
389	99.3534
390	99.3602
391	99.3626
392	99.3644
393	99.3652
394	99.3682
395	99.3727
396	99.3739
397	99.3762
398	99.3785
399	99.3819
400	99.3891
401	99.3914
402	99.3936
403	99.3954
404	99.3977
405	99.4024
406	99.4038
407	99.4058
408	99.4077
409	99.4104
410	99.4160
411	99.4172
412	99.4189
413	99.4207
414	99.4227
415	99.4259
416	99.4281
417	99.4305
418	99.4321
419	99.4341
420	99.4396
421	99.4410
422	99.4427
423	99.4438
424	99.4463
425	99.4495
426	99.4518
427	99.4535
428	99.4561
429	99.4579
430	99.4625
431	99.4639
432	99.4658
433	99.4669
434	99.4687
435	99.4723
436	99.4736
437	99.4751
438	99.4766
439	99.4777
440	99.4819
441	99.4838
442	99.4855
443	99.4873
444	99.4898
445	99.4927
446	99.4942
447	99.4953
448	99.4970
449	99.4980
450	99.5012
451	99.5032
452	99.5048
453	99.5066
454	99.5091
455	99.5124
456	99.5132
457	99.5154
458	99.5173
459	99.5189
460	99.5245
461	99.5259
462	99.5277
463	99.5280
464	99.5299
465	99.5322
466	99.5343
467	99.5352
468	99.5364
469	99.5377
470	99.5410
471	99.5424
472	99.5437
473	99.5445
474	99.5452
475	99.5469
476	99.5484
477	99.5495
478	99.5513
479	99.5527
480	99.5552
481	99.5562
482	99.5567
483	99.5577
484	99.5587
485	99.5600
486	99.5614
487	99.5622
488	99.5634
489	99.5641
490	99.5669
491	99.5672
492	99.5683
493	99.5693
494	99.5717
495	99.5738
496	99.5752
497	99.5774
498	99.5793
499	99.5816
500	99.5858
501	99.5874
502	99.5886
503	99.5898
504	99.5903
505	99.5912
506	99.5928
507	99.5936
508	99.5942
509	99.5960
510	99.5983
511	99.5991
512	99.6001
513	99.6013
514	99.6020
515	99.6029
516	99.6038
517	99.6045
518	99.6056
519	99.6068
520	99.6099
521	99.6104
522	99.6116
523	99.6128
524	99.6133
525	99.6143
526	99.6155
527	99.6158
528	99.6171
529	99.6177
530	99.6196
531	99.6208
532	99.6219
533	99.6226
534	99.6232
535	99.6239
536	99.6245
537	99.6252
538	99.6258
539	99.6270
540	99.6285
541	99.6292
542	99.6302
543	99.6308
544	99.6315
545	99.6320
546	99.6331
547	99.6334
548	99.6343
549	99.6350
550	99.6365
551	99.6371
552	99.6377
553	99.6384
554	99.6396
555	99.6406
556	99.6416
557	99.6420
558	99.6426
559	99.6431
560	99.6441
561	99.6451
562	99.6458
563	99.6463
564	99.6467
565	99.6474
566	99.6477
567	99.6485
568	99.6487
569	99.6492
570	99.6508
571	99.6515
572	99.6518
573	99.6524
574	99.6528
575	99.6541
576	99.6552
577	99.6561
578	99.6567
579	99.6570
580	99.6584
581	99.6593
582	99.6600
583	99.6612
584	99.6613
585	99.6621
586	99.6626
587	99.6631
588	99.6635
589	99.6644
590	99.6661
591	99.6665
592	99.6672
593	99.6677
594	99.6680
595	99.6687
596	99.6695
597	99.6700
598	99.6711
599	99.6731
600	99.6750
601	99.6756
602	99.6765
603	99.6775
604	99.6782
605	99.6788
606	99.6789
607	99.6799
608	99.6803
609	99.6805
610	99.6810
611	99.6814
612	99.6818
613	99.6826
614	99.6831
615	99.6839
616	99.6845
617	99.6851
618	99.6855
619	99.6860
620	99.6868
621	99.6870
622	99.6872
623	99.6877
624	99.6881
625	99.6886
626	99.6890
627	99.6897
628	99.6905
629	99.6910
630	99.6916
631	99.6921
632	99.6926
634	99.6930
635	99.6938
636	99.6939
637	99.6942
638	99.6947
639	99.6951
640	99.6957
641	99.6959
642	99.6964
643	99.6968
644	99.6972
645	99.6975
646	99.6981
647	99.6989
648	99.6994
649	99.6997
650	99.7000
651	99.7011
652	99.7015
653	99.7020
654	99.7028
655	99.7033
656	99.7038
657	99.7042
658	99.7049
659	99.7058
660	99.7068
661	99.7072
662	99.7078
663	99.7086
664	99.7089
665	99.7095
666	99.7100
667	99.7103
668	99.7105
669	99.7109
670	99.7116
671	99.7119
672	99.7125
673	99.7131
674	99.7132
675	99.7135
676	99.7137
677	99.7144
678	99.7147
679	99.7155
680	99.7162
